Remaining_gene,Necessity
b4214,B
b2599,B
b2687,B
b0133,A
b0103,A
b2574,A
b0639,A
b0109,A
b0750,A
b1740,A
b1812,A
b3177,A
b2312,A
b1131,A
b2615,A
b2315,A
b3870,A
b2153,A
b4177,A
b3255,A
b0096,A
b3198,A
b2316,A
b1098,A
b0084,A
b1281,A
b0031,A
b1215,A
b2780,A
b1062,A
b0918,A
b0185,A
b2021,A
b3958,A
b2746,A
b0090,A
b0173,A
b4013,A
b1277,A
b0086,A
b0054,A
b2103,A
b3389,A
b0087,A
b0159,A
b1092,A
b0908,A
b3992,A
b0154,A
b2564,A
b2751,A
b1261,A
b0029,A
b0420,A
b1208,A
b3018,A
b0915,A
b3201,A
b0072,A
b3648,A
b1210,A
b3172,A
b0641,A
b0091,A
b2530,A
b3642,A
b3939,A
b0415,A
b2026,A
b0421,A
b3805,A
b3368,A
b0071,A
b0003,A
b1693,A
b0182,A
b1094,A
b0175,A
b2557,A
b3040,A
b0052,A
b0074,A
b0085,A
b0174,A
b0180,A
b0242,A
b0386,A
b0417,A
b0423,A
b0774,A
b0775,A
b0776,A
b0777,A
b0778,A
b1069,A
b1091,A
b1260,A
b1262,A
b1263,A
b1264,A
b1288,A
b2019,A
b2020,A
b2329,A
b2400,A
b2478,A
b3200,A
b3412,A
b3941,A
b3959,A
b3972,A
b3993,A
b3997,A
b4160,A
b4245,A
b3960,A
b3843,A
b0635,A
b4261,A
b2585,A
b2752,A
b4262,A
b0914,A
b3633,A
b0179,A
s0001,A
b2472,A
b2600,A
b2747,A
b2025,A
b3360,A
b0369,A
b3991,A
b2022,A
b3957,A
b0088,A
b3967,A
b3730,A
b0524,A
b3804,A
b0131,A
b2818,A
b3809,A
b2838,A
b0089,A
b0166,A
b2750,A
b3433,A
b3770,A
b4040,A
b3176,A
b3729,A
b4407,A
b3850,A
b3189,A
b3196,A
b0025,A
b3994,A
b3256,A
b2507,A
b3199,A
b2762,A
b2763,A
b2023,A
b2024,A
b2515,A
b2827,A
b3187,A
b3990,A
b0720,A
b0004,A
b0243,A
b2764,A
b3774,A
b3771,A
b1136,A
b3607,A
b1093,A
b2476,A
b0523,A
b4005,A
b0181,A
b2499,A
b0142,A
b3974,A
b2942,A
b4006,A
b0522,A
b0414,A
b3058,A
b1662,A
b3634,A
b3639,A
b0134,A
b3041,A
b2323,A
