Remaining_gene
b0118
b0720
b2779
b2097
b2416
b2415
b1779
b2417
b1621
b3870
b1136
b1723
b0902
b4025
b2926
b0755
b2987
b3956
b4301
b4090
b2464
b2935
b3919
