Remaining_gene,Necessity
b2551,A
b0870,A
b3368,A
b1260,A
b0109,A
b1094,A
b2472,A
b2935,A
b1261,A
b4054,A
b3770,A
b3281,A
b0243,A
b0414,A
b3041,A
b0025,A
b3812,A
b1662,A
b0421,A
b3804,A
b3997,A
b3187,A
b0339,A
b4006,A
b2508,A
b2400,A
b3993,A
b1062,A
b1281,A
b0639,A
b0720,A
b1136,A
b2103,A
b3057,A
b4053,A
b3642,A
b0415,A
b3648,A
b3771,A
b4383,A
b1854,A
b3197,A
b3972,A
b0071,A
b0072,A
b3671,A
b3670,A
b0908,A
b1263,A
b1264,A
b2599,A
b2600,A
b2329,A
b3633,A
b1262,A
b0174,A
b0524,A
b0182,A
b4025,A
b0915,A
s0001,A
b3386,A
b0073,A
b2026,A
b0523,A
b1131,A
b2024,A
b3607,A
b2414,A
b4214,A
b2762,A
b2582,A
b2827,A
b3940,A
b3433,A
b3639,A
b2838,A
b0475,A
b4040,A
b3974,A
b0103,A
b1693,A
b2942,A
b1215,A
b3198,A
b0417,A
b1098,A
b0521,A
b0888,A
b1210,A
b0522,A
b2687,A
b3960,A
b3172,A
b0242,A
b0074,A
b3958,A
b1091,A
b0154,A
b0918,A
b0159,A
b3176,A
b3730,A
b3189,A
b3967,A
b2763,A
b0386,A
b2764,A
b2323,A
b2507,A
b0142,A
b3634,A
b0778,A
b0173,A
b1812,A
b3360,A
b3843,A
b2478,A
b4039,A
b3729,A
b2415,A
b2416,A
b2312,A
b0171,A
b1740,A
b2780,A
b4254,A
b2500,A
b0087,A
b0090,A
b3774,A
b2316,A
b3255,A
b0185,A
b3256,A
b0052,A
b2564,A
b2615,A
b0369,A
b4005,A
b2557,A
b3957,A
b4177,A
b3744,A
b4245,A
b0029,A
b0134,A
b0420,A
b1092,A
b3809,A
b0031,A
b0003,A
b1208,A
b2746,A
b3359,A
b0004,A
b4013,A
b1704,A
b2750,A
b1622,A
b3939,A
b3956,A
b3608,A
b0179,A
b0085,A
b0091,A
b1277,A
b0088,A
b2752,A
b2751,A
b0131,A
b0086,A
b0096,A
b0181,A
b2019,A
b2020,A
b2022,A
b1207,A
b2417,A
b0763,A
b2153,A
b0764,A
b0765,A
b1250,A
b3805,A
b2747,A
b1761,A
b4067,A
b2023,A
b2025,A
b3640,A
b3772,A
b3479,A
b3477,A
b3476,A
b3480,A
b3478,A
b4094,A
b0048,A
b0388,A
b0774,A
b2315,A
b2818,A
b0381,A
b4019,A
b0133,A
b2476,A
b3389,A
b3941,A
b2574,A
b3177,A
b3919,A
b0750,A
b3870,A
b0914,A
b1865,A
b3850,A
b3959,A
b2499,A
b0954,A
b1288,A
b0175,A
b0089,A
b1069,A
b2585,A
b1093,A
b0149,A
b0635,A
b0084,A
b2021,A
b0166,A
b3994,A
b0429,A
b0432,A
b0431,A
b0430,A
b4041,A
b0180,A
b3018,A
b4160,A
b1276,A
b2987,A
b3040,A
b3196,A
b2895,A
b0777,A
b0641,A
b3201,A
b3200,A
b4261,A
b4262,A
b3199,A
b0054,A
b2530,A
b2529,A
b3058,A
b2528,A
b0775,A
b3991,A
b3992,A
b0423,A
b3990,A
b4407,A
b0776,A
b3412,A
b2515,A
b4238,A
