Remaining_gene
b3032
b1896
b1296
b2676
b0175
b2486
b1394
b0729
b2415
b0936
b3903
b3172
b0199
b3893
b0062
b2663
b3266
b3225
b4513
b1014
b0415
b2026
b0273
b2917
b0241
b4032
b1764
b0091
b0945
b0789
b2490
b3431
b2836
b1243
b0314
b2150
b0126
b2146
b1442
b3993
b2501
b3390
b3654
b0763
b0655
b1859
b3281
b3726
b3915
b2721
b0697
b3697
b2877
b1623
b3617
b3630
b2529
b0088
b0337
b4031
b1600
b4230
b0896
b2582
b4392
b0613
b3844
b1584
b4093
b0352
b1260
b2166
b0886
b3843
b2022
b3662
b3959
b0591
b1093
b0261
b3736
b3132
b3730
b3525
b3882
b2129
b0242
b1197
b4132
b0596
b0007
b1733
b0485
b3881
b2578
b1901
b2302
b1640
b0524
b1380
b0173
b0154
b0894
b2323
b0133
b0723
b2306
b1033
b2091
b4104
b2989
b0827
b1737
b1539
b1223
b4024
b4477
b4153
b3451
b3453
b3713
b4322
b2032
b3732
b3565
b1613
b3856
b0142
b0312
b2703
b1054
b2710
b0826
b2738
b2028
b1103
b1606
b1483
b1186
b2411
b4014
b1682
b0036
b3845
b1378
b3011
b1341
b1463
b2784
b1801
b3125
b2179
b0831
b0778
b3749
b0925
b2170
b0238
b0805
b3367
b1767
b1113
b1225
b1441
b1985
b4098
b4138
b2492
b3930
b2283
b3577
b0849
b3960
b1611
b2752
b3945
b0978
b2482
b2424
b2503
b1330
b3399
b2705
b3526
b1619
b2240
b0867
b3496
b2361
b2147
b4265
b0612
b1232
b0929
b2889
b4161
b2297
b0721
b4154
b1738
b2261
b2700
b3248
b3829
b1363
b1004
b2341
b1125
b0315
b0726
b0335
b2704
b1206
b0639
b1678
b2480
b3542
b1486
b2937
b4337
b3256
b0693
b3992
b3721
b1683
b1281
b2366
b2868
b0830
b2817
b2552
b0505
b1007
b2465
b0507
b2223
b0112
b3728
b0754
b4096
b4139
b2914
b0822
b2104
b2797
b4020
b1247
b2263
b4237
b1134
b3735
b0509
b0903
b1587
b1389
b1651
s0001
b0070
b0832
b2924
b3093
b0243
b1740
b4084
b3996
b1300
b4289
