Remaining genes
b0351
b0118
b0116
b0727
b2587
b0356
b1478
b3734
b3733
b3736
b3737
b3739
b3738
b3735
b3731
b3732
b0720
b0734
b0979
b2779
b2925
b1773
b2097
b2492
b0904
b4152
b4153
b4151
b1819
b1817
b2416
b2415
b1779
b1101
b2417
b1621
b1297
b3870
b0809
b0811
b1761
b3212
b1136
b2281
b2277
b2280
b2286
b2287
b2284
b2282
b2279
b2283
b2285
b2288
b2278
b1603
b0451
b0114
b0115
b3916
b1723
b3114
b2579
b3951
b0902
b3952
b0903
b4025
b2926
b3612
b4395
b0755
b3493
b2987
b3956
b1676
b1854
b3386
b4301
b2914
b4090
b0721
b0722
b0723
b0728
b0008
b2464
b2465
b2935
b3919
